name,price,img_file,url,recommend_name1,recommend_name2,recommend_price1,recommend_price2,recommend_img_file1,recommend_img_file2,recommend_url1,recommend_url2
REFLECTION PACKABLE ZIP UP HOODIE,"HKD 1,393.00",image/REFLECTION PACKABLE ZIP UP HOODIE.png,https://www.calvinklein.com/hk/en/reflection-packable-zip-up-hoodie-J215999.html?dwvar_J215999_color=CRUSHED%20ORANGE,Agmibrelr Womens Workout Drawstring Crop Tops Hoodie Sweatshirt (S-2XL),Eytino Women Hoodies Tops Tie Dye Printed Long Sleeve Drawstring Pullover Sweatshirts with Pocket(S-XXL),HKD 55.16 - HKD 126.19,HKD 31.49 - HKD 213.00,image/recommendations/REFLECTION PACKABLE ZIP UP HOODIE19.png,image/recommendations/REFLECTION PACKABLE ZIP UP HOODIE2.png,https://www.amazon.com/Agmibrelr-Womens-Workout-Drawstring-Sweatshirt/dp/B08JLRJ8GR/ref=sr_1_19?dchild=1&keywords=CRUSHED+ORANGE+HOODIE&qid=1625208554&s=fashion-womens-intl-ship&sr=1-19,https://www.amazon.com/Eytino-Drawstring-Pullover-Sweatshirts-XX-Large/dp/B07X24FVZ7/ref=sr_1_2?dchild=1&keywords=CRUSHED+ORANGE+HOODIE&qid=1625208554&s=fashion-womens-intl-ship&sr=1-2
CHINESE NEW YEAR CAPSULE REVERSIBLE JACKET,"HKD 1,603.00",image/CHINESE NEW YEAR CAPSULE REVERSIBLE JACKET.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-reversible-jacket-J215355.html?dwvar_J215355_color=YELLOW%20AOP,PUMA Women's Trend All Over Print Woven Jacket,Disney Womens Plus Size Tank Mickey & Minnie Mouse All Over Print Top,HKD 217.41 - HKD 513.03,HKD 173.54,image/recommendations/CHINESE NEW YEAR CAPSULE REVERSIBLE JACKET7.png,image/recommendations/CHINESE NEW YEAR CAPSULE REVERSIBLE JACKET10.png,https://www.amazon.com/PUMA-Womens-Trend-Jacket-Black-Houndstooth/dp/B07PXX2KHB/ref=sr_1_8?dchild=1&keywords=YELLOW+AOP+JACKET&qid=1625208668&s=fashion-womens-intl-ship&sr=1-8,https://www.amazon.com/Disney-Womens-Mickey-Minnie-Mouse/dp/B07NLH9QFK/ref=sr_1_11?dchild=1&keywords=YELLOW+AOP+JACKET&qid=1625208668&s=fashion-womens-intl-ship&sr=1-11
SHORT HOODED WINDBREAKER,"HKD 1,253.00",image/SHORT HOODED WINDBREAKER.png,https://www.calvinklein.com/hk/en/short-hooded-windbreaker-J215543.html?dwvar_J215543_color=ILLUMINATED%20BLK,Champion Packable Anorak 1/4 Zip Jacket (CO200),eb79 Men's Lined Hooded Wind Resistant/Water Repellent Windbreaker Jacket,HKD 139.92 - HKD 293.17,HKD 244.40,image/recommendations/SHORT HOODED WINDBREAKER4.png,image/recommendations/SHORT HOODED WINDBREAKER29.png,https://www.amazon.com/Champion-Packable-Jacket-CO200-Black/dp/B07MVT3P5V/ref=sr_1_42?dchild=1&keywords=ILLUMINATED+BLK+WINDBREAKER&qid=1625208709&s=fashion-womens-intl-ship&sr=1-42-catcorr,https://www.amazon.com/Equipment-Sport-USA-Wholesale-Windbreaker/dp/B01LDN6MGS/ref=sr_1_27?dchild=1&keywords=ILLUMINATED+BLK+WINDBREAKER&qid=1625208709&s=fashion-womens-intl-ship&sr=1-27-catcorr
CHINESE NEW YEAR CAPSULE RELAXED DENIM TRUCKER JACKET,"HKD 1,533.00",image/CHINESE NEW YEAR CAPSULE RELAXED DENIM TRUCKER JACKET.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-relaxed-denim-trucker-jacket-J215379.html?dwvar_J215379_color=CC407%20LT%20BLUE,"BARCO ONE – Women’s Endure Jacket, 360 Spandex Stretch Medical Scrub Jacket w/ 2 Zip Pockets & Mock Neck",Amazon Essentials Women's Lightweight Water-Resistant Packable Puffer Coat,HKD 307.38 - HKD 338.95,HKD 412.73,image/recommendations/CHINESE NEW YEAR CAPSULE RELAXED DENIM TRUCKER JACKET30.png,image/recommendations/CHINESE NEW YEAR CAPSULE RELAXED DENIM TRUCKER JACKET25.png,https://www.amazon.com/5405-Womens-Pocket-Zipper-Jacket/dp/B07YGB2LS9/ref=sr_1_30?dchild=1&keywords=CC407+LT+BLUE+JACKET&qid=1625208878&s=fashion-womens-intl-ship&sr=1-30,https://www.amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BMKY95B/ref=sr_1_25?dchild=1&keywords=CC407+LT+BLUE+JACKET&qid=1625208878&s=fashion-womens-intl-ship&sr=1-25
HYBRID DENIM JACKET,"HKD 2,093.00",image/HYBRID DENIM JACKET.png,https://www.calvinklein.com/hk/en/hybrid-denim-jacket-J216198.html?dwvar_J216198_color=ACD632%20LT%20BLUE,Hanes Women's Jersey Full Zip Hoodie,Wrangler Authentics womens Stretch Denim Jacket,HKD 94.07 - HKD 218.99,HKD 231.30 - HKD 275.42,image/recommendations/HYBRID DENIM JACKET1.png,image/recommendations/HYBRID DENIM JACKET3.png,https://www.amazon.com/Hanes-Womens-Jersey-Hoodie-XX-Large/dp/B016YKKP0Y/ref=sr_1_1?dchild=1&keywords=ACD632+LT+BLUE+JACKET&qid=1625209012&s=fashion-womens-intl-ship&sr=1-1,https://www.amazon.com/Wrangler-Authentics-Womens-Jacket-Weathered/dp/B012OV0QM4/ref=sr_1_3?dchild=1&keywords=ACD632+LT+BLUE+JACKET&qid=1625209012&s=fashion-womens-intl-ship&sr=1-3
PRIDE CROPPED DENIM VEST,HKD 903.00,image/PRIDE CROPPED DENIM VEST.png,https://www.calvinklein.com/hk/en/pride-cropped-denim-vest-J217224.html?dwvar_J217224_color=DENIM%20MEDIUM,Wax Jeans Women's Classic Cropped Denim Vest,Dasior Women's Distressed Sleeveless Long Denim Cardigan Vest Jean Jacket Plus Size,HKD 165.72 - HKD 230.12,HKD 207.47,image/recommendations/PRIDE CROPPED DENIM VEST9.png,image/recommendations/PRIDE CROPPED DENIM VEST24.png,https://www.amazon.com/Wax-Jeans-Womens-Classic-Cropped/dp/B08GYJCTHS/ref=sr_1_9?dchild=1&keywords=DENIM+MEDIUM+VEST&qid=1625209115&s=fashion-womens-intl-ship&sr=1-9,https://www.amazon.com/Dasior-Distressed-Sleeveless-Cardigan-Blue/dp/B07DCR9JJ8/ref=sr_1_25?dchild=1&keywords=DENIM+MEDIUM+VEST&qid=1625209115&s=fashion-womens-intl-ship&sr=1-25
CORE NYLON WINDBREAKER,"HKD 1,290.00",image/CORE NYLON WINDBREAKER.png,https://www.calvinklein.com/hk/en/core-nylon-windbreaker-J216168.html?dwvar_J216168_color=BRIGHT%20WHITE,Amazon Essentials Women's Classic Fit Sleeveless Full-Zip Polar Soft Fleece Vest,Women Colorblock One Piece Outfits Set High Waist Pants Long Sleeve Zipper Front Windbreaker Jumpsuit,HKD 157.04,HKD 234.70,image/recommendations/CORE NYLON WINDBREAKER33.png,image/recommendations/CORE NYLON WINDBREAKER20.png,https://www.amazon.com/Amazon-Essentials-Classic-Sleeveless-Full-Zip/dp/B08641M6LN/ref=sr_1_34?dchild=1&keywords=BRIGHT+WHITE+WINDBREAKER&qid=1625209267&s=fashion-womens-intl-ship&sr=1-34,https://www.amazon.com/Colorblock-Outfits-Sleeve-Windbreaker-Jumpsuit/dp/B07ZK26423/ref=sr_1_21?dchild=1&keywords=BRIGHT+WHITE+WINDBREAKER&qid=1625209267&s=fashion-womens-intl-ship&sr=1-21
QUILTED DOWN JACKET,HKD 598.00,image/QUILTED DOWN JACKET.png,https://www.calvinklein.com/hk/en/quilted-down-jacket-J212077.html?dwvar_J212077_color=CK%20BLACK,Columbia Womens Hexbreaker Long Down Jacket,Columbia Women's White Out Mid Omni Heat Long Hooded Light Jacket Coat Puffer Plus/Regular,"HKD 1,177.90 - HKD 2,288.57","HKD 670.79 - HKD 1,499.33",image/recommendations/QUILTED DOWN JACKET16.png,image/recommendations/QUILTED DOWN JACKET8.png,https://www.amazon.com/Columbia-Womens-Hexbreaker-Jacket-Medium/dp/B00GSDD8TI/ref=sr_1_16?dchild=1&keywords=CK+BLACK+JACKET&qid=1625209396&s=fashion-womens-intl-ship&sr=1-16,https://www.amazon.com/Columbia-Womens-Hooded-Jacket-Regular/dp/B07WYR7M4B/ref=sr_1_8?dchild=1&keywords=CK+BLACK+JACKET&qid=1625209396&s=fashion-womens-intl-ship&sr=1-8
WOVEN HOODED JACKET,"HKD 1,095.00",image/WOVEN HOODED JACKET.png,https://www.calvinklein.com/hk/en/woven-hooded-jacket-J214686.html?dwvar_J214686_color=BRIGHT%20WHITE,Columbia Women's Switchback III Adjustable Waterproof Rain Jacket,"Starter Women's Waterproof Breathable Jacket, Amazon Exclusive",HKD 250.64 - HKD 875.42,HKD 118.69 - HKD 357.49,image/recommendations/WOVEN HOODED JACKET14.png,image/recommendations/WOVEN HOODED JACKET8.png,https://www.amazon.com/Columbia-Womens-Switchback-Adjustable-Waterproof/dp/B072M3CL96/ref=sr_1_14?dchild=1&keywords=BRIGHT+WHITE+JACKET&qid=1625209542&s=fashion-womens-intl-ship&sr=1-14,https://www.amazon.com/Starter-Standard-Womens-Waterproof-Breathable/dp/B07CH5Q51Z/ref=sr_1_8?dchild=1&keywords=BRIGHT+WHITE+JACKET&qid=1625209542&s=fashion-womens-intl-ship&sr=1-8
RIPPED FOUNDATION TRUCKER JACKET,HKD 995.00,image/RIPPED FOUNDATION TRUCKER JACKET.png,https://www.calvinklein.com/hk/en/ripped-foundation-trucker-jacket-J215054.html?dwvar_J215054_color=BB487%20LT%20BLUE,Hanes Women's Jersey Full Zip Hoodie,Wrangler Authentics womens Stretch Denim Jacket,HKD 94.07 - HKD 218.99,HKD 231.30 - HKD 275.42,image/recommendations/RIPPED FOUNDATION TRUCKER JACKET1.png,image/recommendations/RIPPED FOUNDATION TRUCKER JACKET3.png,https://www.amazon.com/Hanes-Womens-Jersey-Hoodie-XX-Large/dp/B016YKKP0Y/ref=sr_1_1?dchild=1&keywords=BB487+LT+BLUE+JACKET&qid=1625209683&s=fashion-womens-intl-ship&sr=1-1,https://www.amazon.com/Wrangler-Authentics-Womens-Jacket-Weathered/dp/B012OV0QM4/ref=sr_1_3?dchild=1&keywords=BB487+LT+BLUE+JACKET&qid=1625209683&s=fashion-womens-intl-ship&sr=1-3
