name,price,img_file,url,recommend_name1,recommend_name2,recommend_price1,recommend_price2,recommend_img_file1,recommend_img_file2,recommend_url1,recommend_url2
MODERN ESSENTIALS+ MICRO LOGO HOODIE,HKD 763.00,image/MODERN ESSENTIALS+ MICRO LOGO HOODIE.png,https://www.calvinklein.com/hk/en/modern-essentials-micro-logo-hoodie-J215462.html?dwvar_J215462_color=PALMA%20LILAC,Bingerlily Women's Casual Hoodies Long Sleeve Solid Lightweight Pullover Tops Loose Sweatshirt with Pocket,Champion Women's Printed Reverse Weave Pullover Hood,HKD 181.27,HKD 206.05,image/recommendations/MODERN ESSENTIALS+ MICRO LOGO HOODIE9.png,image/recommendations/MODERN ESSENTIALS+ MICRO LOGO HOODIE10.png,https://www.amazon.com/Bingerlily-Hoodies-Lightweight-Pullover-Sweatshirt/dp/B0885ZD81M/ref=sr_1_10?dchild=1&keywords=PALMA+LILAC+HOODIE&qid=1625214297&s=fashion-womens-intl-ship&sr=1-10,https://www.amazon.com/Champion-Womens-Reverse-Pullover-Hoodie/dp/B0847SGS2J/ref=sr_1_11?dchild=1&keywords=PALMA+LILAC+HOODIE&qid=1625214297&s=fashion-womens-intl-ship&sr=1-11
REFLECTION HOODED CAPE,HKD 903.00,image/REFLECTION HOODED CAPE.png,https://www.calvinklein.com/hk/en/reflection-hooded-cape-J215990.html?dwvar_J215990_color=PEACOAT,MAKEMECHIC Women's Button Front Cloak Sleeve Elegant Cape Mock Poncho Classy Plaid Print Cape Coat,chouyatou Women's Big Notch Lapel Single Breasted Mid-Long Wool Blend Coat,HKD 157.75,HKD 386.61,image/recommendations/REFLECTION HOODED CAPE24.png,image/recommendations/REFLECTION HOODED CAPE37.png,https://www.amazon.com/MAKEMECHIC-Womens-Double-Elegant-Black-1/dp/B07KC1FBJ5/ref=sr_1_24?dchild=1&keywords=PEACOAT+CAPE&qid=1625214365&s=fashion-womens-intl-ship&sr=1-24,https://www.amazon.com/chouyatou-Womens-Single-Breasted-Mid-Long/dp/B07K1ZZZ16/ref=sr_1_37?dchild=1&keywords=PEACOAT+CAPE&qid=1625214365&s=fashion-womens-intl-ship&sr=1-37
REFLECTION INSTITUTIONAL ZIP UP HOODIE,HKD 903.00,image/REFLECTION INSTITUTIONAL ZIP UP HOODIE.png,https://www.calvinklein.com/hk/en/reflection-institutional-zip-up-hoodie-J215535.html?dwvar_J215535_color=BRIGHT%20WHITE,Hanes Women's EcoSmart Full-Zip Hoodie Sweatshirt,Levi's Women's Genevieve Shirt,HKD 102.51,HKD 255.22,image/recommendations/REFLECTION INSTITUTIONAL ZIP UP HOODIE13.png,image/recommendations/REFLECTION INSTITUTIONAL ZIP UP HOODIE18.png,https://www.amazon.com/Hanes-Womens-Full-White-Large/dp/B01B77W6VU/ref=sr_1_13?dchild=1&keywords=BRIGHT+WHITE+HOODIE&qid=1625214528&s=fashion-womens-intl-ship&sr=1-13,https://www.amazon.com/Levis-Womens-Genevieve-Shirt-Bright/dp/B08BJGHRGM/ref=sr_1_18?dchild=1&keywords=BRIGHT+WHITE+HOODIE&qid=1625214528&s=fashion-womens-intl-ship&sr=1-18
PREMIUM MIX MEDIA HOODIE,"HKD 1,183.00",image/PREMIUM MIX MEDIA HOODIE.png,https://www.calvinklein.com/hk/en/premium-mix-media-hoodie-J215988.html?dwvar_J215988_color=CK%20BLACK,Calvin Klein Men's Hooded Parka Bomber Coat,Hanes Sport Women's Performance Fleece Pullover Hoodie,HKD 614.21,HKD 102.59,image/recommendations/PREMIUM MIX MEDIA HOODIE40.png,image/recommendations/PREMIUM MIX MEDIA HOODIE2.png,https://www.amazon.com/Calvin-Klein-CM004358-Hooded-Bomber/dp/B08H3M4B74/ref=sr_1_40?dchild=1&keywords=CK+BLACK+HOODIE&qid=1625214670&s=fashion-womens-intl-ship&sr=1-40,https://www.amazon.com/Hanes-Womens-Performance-Pullover-Heather/dp/B01L9JAEJM/ref=sr_1_2?dchild=1&keywords=CK+BLACK+HOODIE&qid=1625214670&s=fashion-womens-intl-ship&sr=1-2
PREMIUM FLORAL PRINT SWEATSHIRT,HKD 903.00,image/PREMIUM FLORAL PRINT SWEATSHIRT.png,https://www.calvinklein.com/hk/en/premium-floral-print-sweatshirt-J215989.html?dwvar_J215989_color=VIVID%20ORANGE,Angashion Women's Sweaters Casual Off Shoulder Tops Crossed V- Neck Long Sleeve Crop Halter Pullover,Hanes Women's EcoSmart Crewneck Sweatshirt,HKD 236.67,HKD 59.19,image/recommendations/PREMIUM FLORAL PRINT SWEATSHIRT18.png,image/recommendations/PREMIUM FLORAL PRINT SWEATSHIRT2.png,https://www.amazon.com/Angashion-Sweaters-Shoulder-Crossed-Pullover/dp/B0822SWGB2/ref=sr_1_19?dchild=1&keywords=VIVID+ORANGE+SWEATSHIRT&qid=1625214811&s=fashion-womens-intl-ship&sr=1-19,https://www.amazon.com/Hanes-V-Notch-Pullover-Sweatshirt-Heather/dp/B00ZUNH1OA/ref=sr_1_2?dchild=1&keywords=VIVID+ORANGE+SWEATSHIRT&qid=1625214811&s=fashion-womens-intl-ship&sr=1-2
CHINESE NEW YEAR CAPSULE PRINT HOODIE,HKD 903.00,image/CHINESE NEW YEAR CAPSULE PRINT HOODIE.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-print-hoodie-J215352.html?dwvar_J215352_color=CK%20BLACK,Calvin Klein Women's Light Weight Stretch Puffer Jacket,Calvin Klein Womens CK One Cotton Long Sleeve Sweatshirt,HKD 391.19,HKD 291.52,image/recommendations/CHINESE NEW YEAR CAPSULE PRINT HOODIE37.png,image/recommendations/CHINESE NEW YEAR CAPSULE PRINT HOODIE1.png,https://www.amazon.com/Light-Weight-Stretch-Puffer-Jacket/dp/B08H3FCK92/ref=sr_1_37?dchild=1&keywords=CK+BLACK+HOODIE&qid=1625214969&s=fashion-womens-intl-ship&sr=1-37,https://www.amazon.com/Calvin-Klein-Womens-French-Cropped/dp/B083LBX88N/ref=sr_1_1?dchild=1&keywords=CK+BLACK+HOODIE&qid=1625214969&s=fashion-womens-intl-ship&sr=1-1
CHINESE NEW YEAR CAPSULE FRONT OVERLAY HOODIE,HKD 693.00,image/CHINESE NEW YEAR CAPSULE FRONT OVERLAY HOODIE.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-front-overlay-hoodie-4WS1W389.html?dwvar_4WS1W389_color=SAFFRON,"Champion Men's Powerblend Fleece Hoodie, C Logo","Gildan Men's Fleece Hooded Sweatshirt, Style G18500",HKD 149.55,HKD 88.15,image/recommendations/CHINESE NEW YEAR CAPSULE FRONT OVERLAY HOODIE32.png,image/recommendations/CHINESE NEW YEAR CAPSULE FRONT OVERLAY HOODIE38.png,https://www.amazon.com/Champion-Powerblend-Pullover-Hoodie-Oxford/dp/B01HIUTE1A/ref=sr_1_18?dchild=1&keywords=SAFFRON+HOODIE&qid=1625215096&s=fashion-womens-intl-ship&sr=1-18-catcorr,https://www.amazon.com/Gildan-Fleece-Sweatshirt-G18500-X-Large/dp/B01B80GQB2/ref=sr_1_11?dchild=1&keywords=SAFFRON+HOODIE&qid=1625215096&s=fashion-womens-intl-ship&sr=1-11-catcorr
CHINESE NEW YEAR CAPSULE MONOGRAM SWEATSHIRT,HKD 763.00,image/CHINESE NEW YEAR CAPSULE MONOGRAM SWEATSHIRT.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-monogram-sweatshirt-J215349.html?dwvar_J215349_color=CHINESE%20RED,Modern Kiwi Women's Plus Size Cascading Short Sleeve Bolero Cardigan (1X-4X),Modern Kiwi Women's Plus Size Solid 3/4 Sleeve Open Front Cardigan (1X-4X) Made in USA,HKD 189.32,HKD 197.21,image/recommendations/CHINESE NEW YEAR CAPSULE MONOGRAM SWEATSHIRT13.png,image/recommendations/CHINESE NEW YEAR CAPSULE MONOGRAM SWEATSHIRT16.png,https://www.amazon.com/Modern-Kiwi-Cascading-Sleeve-Cardigan/dp/B07DKN79VD/ref=sr_1_14?dchild=1&keywords=CHINESE+RED+SWEATSHIRT&qid=1625215267&s=fashion-womens-intl-ship&sr=1-14,https://www.amazon.com/Modern-Kiwi-Solid-Sleeve-Cardigan/dp/B0845RSLHM/ref=sr_1_17?dchild=1&keywords=CHINESE+RED+SWEATSHIRT&qid=1625215267&s=fashion-womens-intl-ship&sr=1-17
MICRO BRANDING HOOD,HKD 763.00,image/MICRO BRANDING HOOD.png,https://www.calvinklein.com/hk/en/modern-essentials-micro-logo-hoodie-J215462.html?dwvar_J215462_color=ACID%20GREEN,AX Armani Exchange Women's Lime Detail Zip-up Sweatshirt with Logo Taping,Spyder Women's Hayden Jacket,HKD 534.66,HKD 798.71,image/recommendations/MICRO BRANDING HOOD17.png,image/recommendations/MICRO BRANDING HOOD9.png,https://www.amazon.com/Armani-Exchange-Womens-Detail-Sweatshirt/dp/B08CJM6ZLB/ref=sr_1_17?dchild=1&keywords=ACID+GREEN+HOOD&qid=1625215421&s=fashion-womens-intl-ship&sr=1-17,https://www.amazon.com/Spyder-Womens-Hayden-Jacket-Medium/dp/B06Y26ZHC6/ref=sr_1_9?dchild=1&keywords=ACID+GREEN+HOOD&qid=1625215421&s=fashion-womens-intl-ship&sr=1-9
MONOGRAM BACK HOODIE,HKD 833.00,image/MONOGRAM BACK HOODIE.png,https://www.calvinklein.com/hk/en/monogram-back-hoodie-J217139.html?dwvar_J217139_color=BRIGHT%20WHITE,Ms Lovely Women's Ultra Soft Zip-Up Hooded Sweatshirt - Cute Comfy Fitted Lounge Hoodie,BWN Women's Workout Hoodie Jacket - Lightweight Full Zip Up Long Sleeve Hooded Top Casual Stretch Active Sweatshirt Pullover,HKD 118.30,HKD 110.01,image/recommendations/MONOGRAM BACK HOODIE17.png,image/recommendations/MONOGRAM BACK HOODIE38.png,https://www.amazon.com/Ms-Lovely-Womens-Zip-Up-Sweatshirt/dp/B07JBL41FM/ref=sr_1_17?dchild=1&keywords=BRIGHT+WHITE+HOODIE&qid=1625215521&s=fashion-womens-intl-ship&sr=1-17,https://www.amazon.com/BWN-Womens-Workout-Hoodie-Jacket/dp/B08ZLCHB97/ref=sr_1_39?dchild=1&keywords=BRIGHT+WHITE+HOODIE&qid=1625215521&s=fashion-womens-intl-ship&sr=1-39
